이름,위도,경도,주소
마을공터,36.93977962,127.1529306,성환읍 수향리 55-2
마을공터,36.92297813,127.1196234,성환읍 우신리 24-30
마을공터,36.91960656,127.1328865,성환읍 성환리 309-34
아파트단지,36.90274734,127.1093742,성환읍 율금1길 276
창환주택 단지 안,36.91291818,127.1327308,충청남도 천안시 서북구 성환읍 성환리 406
