이름,위도,경도,주소
구성1공원,36.79760241,127.1621678,충남 천안시 동남구 구성동 435-1
천안삼거리공원 (2025년 9월 예정),36.78302454,127.1684039,충남 천안시 동남구 삼룡동 299-1
청당코오롱하늘채,36.779475,127.1459543,"충청남도 천안시 동남구 광풍로 1800 (청당동, 청당 코오롱 하늘채)"
청당코오롱하늘채,36.7796,127.1459,충청남도 천안시 동남구 광풍로 1799 (청당동)
하천변,36.79660209,127.160499,청룡동 삼룡천2길 67
구성1공원,36.79761083,127.1622672,충청남도 천안시 동남구 구성동 435-1
청수2공원,36.78742049,127.148769,충청남도 천안시 동남구 청수동 270
