이름,위도,경도,주소
청수호수공원,36.78719082,127.1499006,충남 천안시 동남구 청수동 270
청당코오롱하늘채,36.7796,127.1459,충청남도 천안시 동남구 광풍로 1799 (청당동)
하천변,36.79660209,127.160499,청룡동 삼룡천2길 67
청당3공원,36.78902469,127.1570837,충청남도 천안시 동남구 청당동 602
뒷들공원(청당7공원),36.78243638,127.1622453,충청남도 천안시 동남구 청당동 870
