시군구명,읍면동명,,연도,,쉼터명칭,상세주소,사용여부,시설면적,이용가능인원수,소재지지번주소,경도,위도,시설유형명
천안시 서북구 성환읍, 서북구 성환읍,,2024,,신방2리 경로당,충청남도 천안시 서북구 성환읍 신방4길 6-7,Y,107,48,충청남도 천안시 서북구 성환읍 신방4길 6-7,127.0796975,36.9414172,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,신도브래뉴 경로당,충청남도 천안시 동남구 풍세로 770,Y,87,21,충청남도 천안시 동남구 풍세로 770,127.141415,36.778616,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,벽산블루밍 경로당,충청남도 천안시 동남구 청당2길 118,Y,210,52,충청남도 천안시 동남구 청당2길 118,127.155739,36.779025,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,경남아너스빌 경로당,"충청남도 천안시 동남구 청수로 15 (청수동, 경남아너스빌아파트)",Y,85,21,"충청남도 천안시 동남구 청수로 15 (청수동, 경남아너스빌아파트)",127.1496727,36.7889158,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,청당버들 경로당,충청남도 천안시 동남구 청수14로 29,Y,83,20,충청남도 천안시 동남구 청수14로 29,127.149885,36.785616,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,청당산운 경로당,충청남도 천안시 동남구 청수8로 71,Y,126,31,충청남도 천안시 동남구 청수8로 71,127.157632,36.78823,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,중흥S클래스 경로당,충청남도 천안시 동남구 청수14로 117,Y,93,23,충청남도 천안시 동남구 청수14로 117,127.158451,36.7871,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,한양수자인 경로당,충청남도 천안시 동남구 청수4로 11,Y,87,21,충청남도 천안시 동남구 청수4로 11,127.150742,36.783126,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,복모리 경로당,충청남도 천안시 서북구 성환읍 복모1길 49-6,N,106,30,충청남도 천안시 서북구 성환읍 복모1길 49-6,127.12201,36.950333,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,신가1리 경로당,충청남도 천안시 서북구 성환읍 성환신흥1길 114,Y,192,40,충청남도 천안시 서북구 성환읍 성환신흥1길 114,127.1139559,36.9497726,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,신가2리 경로당,충청남도 천안시 서북구 성환읍 가동길 14,Y,99,26,충청남도 천안시 서북구 성환읍 가동길 14,127.1147662,36.9523727,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,와룡1리 경로당,충청남도 천안시 서북구 성환읍 와우2길 38-13,Y,99,30,충청남도 천안시 서북구 성환읍 와우2길 38-13,127.1043861,36.9496695,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,대홍2리 경로당,충청남도 천안시 서북구 성환읍 성월수향길 251-1,Y,102,15,충청남도 천안시 서북구 성환읍 성월수향길 251-1,127.1479094,36.9380748,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,수향2길 경로당,충청남도 천안시 서북구 성환읍 무내1길 27,Y,126,73,충청남도 천안시 서북구 성환읍 무내1길 27,127.152031,36.945424,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,수향3리 경로당,충청남도 천안시 서북구 성환읍 신향촌길 11,Y,124,69,충청남도 천안시 서북구 성환읍 신향촌길 11,127.1545374,36.9385536,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,송덕2리 경로당,충청남도 천안시 서북구 성환읍 왕림길 126,Y,83,40,충청남도 천안시 서북구 성환읍 왕림길 126,127.1114373,36.9169308,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,우신2리 경로당,충청남도 천안시 서북구 성환읍 우신새터길 15,Y,83,39,충청남도 천안시 서북구 성환읍 우신새터길 15,127.1193379,36.9263932,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,한미래아파트 경로당,충청남도 천안시 서북구 성환읍 안궁1길 2 (성환한미래아파트),Y,31,29,충청남도 천안시 서북구 성환읍 안궁1길 2 (성환한미래아파트),127.1316671,36.9559545,노인시설
천안시 동남구 신안동, 동남구 신안동,,2024,,신안휴먼시아@경로당,충청남도 천안시 동남구 천안천8길 45,Y,128,24,충청남도 천안시 동남구 천안천8길 45,127.154958,36.821518,노인시설
천안시 동남구 신안동, 동남구 신안동,,2024,,신안청광플러스원@경로당,충청남도 천안시 동남구 중앙로 265-31,Y,51,21,충청남도 천안시 동남구 중앙로 265-31,127.150281,36.821782,노인시설
천안시 동남구 신안동, 동남구 신안동,,2024,,신안26통경로당,충청남도 천안시 동남구 문암로 134-6,Y,99,28,충청남도 천안시 동남구 문암로 134-6,127.186968,36.844036,노인시설
천안시 동남구 신안동, 동남구 신안동,,2024,,신안안서금호어울림@경로당,충청남도 천안시 동남구 문암1길 68,Y,139,50,충청남도 천안시 동남구 문암1길 68,127.177159,36.839742,노인시설
천안시 동남구 신안동, 동남구 신안동,,2024,,신안안서대림@경로당,충청남도 천안시 동남구 성불사길 41,Y,116,56,충청남도 천안시 동남구 성불사길 41,127.189212,36.830128,노인시설
천안시 동남구 신안동, 동남구 신안동,,2024,,신안동문굿모닝힐@경로당,"충청남도 천안시 동남구 신부8길 21 (신부동, 도솔노블시티 동문굿모닝힐)",Y,266,89,"충청남도 천안시 동남구 신부8길 21 (신부동, 도솔노블시티 동문굿모닝힐)",127.1636,36.8172,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,안궁2리 경로당,충청남도 천안시 서북구 성환읍 안궁2길 94,Y,75,32,충청남도 천안시 서북구 성환읍 안궁2길 94,127.1362832,36.9626901,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,안궁3리 경로당,충청남도 천안시 서북구 성환읍 안궁4길 9-14,Y,123,25,충청남도 천안시 서북구 성환읍 안궁4길 9-14,127.1284723,36.9634868,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,영흥아파트 경로당,충청남도 천안시 서북구 성환읍 신방로 362 (영흥아파트),Y,72,32,충청남도 천안시 서북구 성환읍 신방로 362 (영흥아파트),127.1178806,36.923342,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,성월3리 경로당,충청남도 천안시 서북구 성환읍 성월1길 15-1,Y,66,30,충청남도 천안시 서북구 성환읍 성월1길 15-1,127.1420502,36.9131923,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,성환11리 경로당,충청남도 천안시 서북구 성환읍 성환11길 57-3,Y,99,46,충청남도 천안시 서북구 성환읍 성환11길 57-3,127.1340424,36.9154583,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,매주3리 경로당,충청남도 천안시 서북구 성환읍 연암율금로 389,Y,67,56,충청남도 천안시 서북구 성환읍 연암율금로 389,127.121287,36.9091246,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,매주4리 경로당,충청남도 천안시 서북구 성환읍 연암율금로 435-22,Y,93,23,충청남도 천안시 서북구 성환읍 연암율금로 435-22,127.1266365,36.9126633,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,성월1리 경로당,충청남도 천안시 서북구 성환읍 성월수향길 14,Y,89,88,충청남도 천안시 서북구 성환읍 성월수향길 14,127.1361494,36.9202077,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,성월4리 경로당,충청남도 천안시 서북구 성환읍 성월2길 16 (현대한솔아파트),Y,67,42,충청남도 천안시 서북구 성환읍 성월2길 16 (현대한솔아파트),127.1367931,36.9177872,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,매주2리 경로당,충청남도 천안시 서북구 성환읍 성환1로 180-9,Y,99,53,충청남도 천안시 서북구 성환읍 성환1로 180-9,127.1289968,36.9110381,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,두진아파트경로당,충청남도 천안시 서북구 성환읍 율금1길 221-34 (),Y,101,31,충청남도 천안시 서북구 성환읍 율금1길 221-34 (),127.1004372,36.9045416,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,두진아파트 경로당(율금5리),충청남도 천안시 서북구 성환읍 율금1길 221-34 (두진그린힐아파트),Y,101,30,충청남도 천안시 서북구 성환읍 율금1길 221-34 (두진그린힐아파트),127.1004402,36.9045087,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,율금6리 경로당,충청남도 천안시 서북구 성환읍 율금1길 276 (이화아파트),Y,96,26,충청남도 천안시 서북구 성환읍 율금1길 276 (이화아파트),127.10896,36.9027307,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,한아름아파트경로당(율금7리),충청남도 천안시 서북구 성환읍 율금1길 309 (대영한아름아파트),Y,49,29,충청남도 천안시 서북구 성환읍 율금1길 309 (대영한아름아파트),127.1122062,36.9050282,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,왕림2리 경로당,충청남도 천안시 서북구 성환읍 각금3길 94-9,Y,92,35,충청남도 천안시 서북구 성환읍 각금3길 94-9,127.0928645,36.922891,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,신방1리 경로당,충청남도 천안시 서북구 성환읍 신무길 42,Y,235,82,충청남도 천안시 서북구 성환읍 신무길 42,127.0818343,36.9343141,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,송덕1리 경로당,충청남도 천안시 서북구 성환읍 송덕2길 108,Y,100,39,충청남도 천안시 서북구 성환읍 송덕2길 108,127.1190101,36.9229303,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,어룡리 경로당,충청남도 천안시 서북구 성환읍 어룡3길 12,Y,175,49,충청남도 천안시 서북구 성환읍 어룡3길 12,127.1225089,36.9392827,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,대홍3리 경로당,충청남도 천안시 서북구 성환읍 홍경길 98,Y,129,32,충청남도 천안시 서북구 성환읍 홍경길 98,127.1397015,36.9458744,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,대홍4리 경로당,충청남도 천안시 서북구 성환읍 천안대로 2157,Y,83,20,충청남도 천안시 서북구 성환읍 천안대로 2157,127.1339798,36.9313194,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,수향1리 경로당,충청남도 천안시 서북구 성환읍 지족향길 34,Y,132,33,충청남도 천안시 서북구 성환읍 지족향길 34,127.1436625,36.9511342,노인시설
